id,user_id,restaurant_id,date,day,meal_time
MEAL_001_001,USR_001,RST_002,2025-05-12,Monday,Dinner
MEAL_001_002,USR_001,RST_003,2025-05-13,Tuesday,Lunch
MEAL_001_003,USR_001,RST_001,2025-05-13,Tuesday,Dinner
MEAL_001_004,USR_001,RST_004,2025-05-13,Tuesday,Midnight Snack
MEAL_001_005,USR_001,RST_005,2025-05-14,Wednesday,Lunch
MEAL_001_006,USR_001,RST_006,2025-05-14,Wednesday,Dinner
MEAL_001_007,USR_001,RST_007,2025-05-15,Thursday,Lunch
MEAL_001_008,USR_001,RST_001,2025-05-15,Thursday,Dinner
MEAL_001_009,USR_001,RST_008,2025-05-16,Friday,Lunch
MEAL_001_010,USR_001,RST_009,2025-05-16,Friday,Tea Time
MEAL_001_011,USR_001,RST_010,2025-05-19,Monday,Tea Time
MEAL_001_012,USR_001,RST_901,2025-05-19,Monday,Dinner
MEAL_001_013,USR_001,RST_004,2025-05-19,Monday,Midnight Snack
MEAL_001_014,USR_001,RST_011,2025-05-20,Tuesday,Tea Time
MEAL_001_015,USR_001,RST_012,2025-05-20,Tuesday,Late Dinner
MEAL_001_016,USR_001,RST_901,2025-05-21,Wednesday,Lunch
MEAL_001_017,USR_001,RST_013,2025-05-21,Wednesday,Linner
MEAL_001_018,USR_001,RST_014,2025-05-22,Thursday,Tea Time
MEAL_001_019,USR_001,RST_015,2025-05-22,Thursday,Late Dinner
MEAL_001_020,USR_001,RST_001,2025-05-22,Thursday,Midnight Snack
MEAL_001_021,USR_001,RST_016,2025-05-23,Friday,Lunch
MEAL_001_022,USR_001,RST_002,2025-05-23,Friday,Dinner
MEAL_001_023,USR_001,RST_007,2025-05-24,Saturday,Brunch
MEAL_001_024,USR_001,RST_012,2025-05-24,Saturday,Tea Time
MEAL_001_025,USR_001,RST_019,2025-05-24,Saturday,Dinner
MEAL_001_026,USR_001,RST_017,2025-05-25,Sunday,Lunch
MEAL_001_027,USR_001,RST_018,2025-05-25,Sunday,Dinner
MEAL_001_028,USR_001,RST_003,2025-05-26,Monday,Lunch
MEAL_001_029,USR_001,RST_017,2025-05-26,Monday,Dinner
MEAL_001_030,USR_001,RST_008,2025-05-27,Tuesday,Lunch
MEAL_001_031,USR_001,RST_001,2025-05-27,Tuesday,Dinner
MEAL_001_032,USR_001,RST_004,2025-05-28,Wednesday,Midnight Snack
MEAL_001_033,USR_001,RST_028,2025-05-28,Wednesday,Dinner
MEAL_001_034,USR_001,RST_017,2025-05-29,Thursday,Lunch
MEAL_001_035,USR_001,RST_001,2025-05-29,Thursday,Dinner
MEAL_001_036,USR_001,RST_011,2025-06-16,Monday,Lunch
MEAL_001_037,USR_001,RST_001,2025-06-16,Monday,Dinner
MEAL_001_038,USR_001,RST_016,2025-06-17,Tuesday,Lunch
MEAL_001_039,USR_001,RST_001,2025-06-17,Tuesday,Dinner
MEAL_001_040,USR_001,RST_018,2025-06-18,Wednesday,Lunch
MEAL_001_041,USR_001,RST_001,2025-06-18,Wednesday,Dinner
MEAL_001_042,USR_001,RST_031,2025-06-18,Wednesday,Midnight Snack
MEAL_001_043,USR_001,RST_058,2025-06-19,Thursday,Lunch
MEAL_001_044,USR_001,RST_028,2025-06-19,Thursday,Dinner
MEAL_001_045,USR_001,RST_059,2025-06-25,Wednesday,Late Dinner
MEAL_001_046,USR_001,RST_008,2025-06-26,Thursday,Brunch
MEAL_001_047,USR_001,RST_060,2025-06-26,Thursday,Linner
MEAL_001_048,USR_001,RST_019,2025-06-26,Thursday,Dinner
MEAL_001_049,USR_001,RST_011,2025-06-27,Friday,Lunch
MEAL_001_050,USR_001,RST_006,2025-06-27,Friday,Dinner
MEAL_001_051,USR_001,RST_004,2025-06-27,Friday,Midnight Snack
MEAL_001_052,USR_001,RST_014,2025-06-28,Saturday,Lunch
MEAL_001_053,USR_001,RST_013,2025-06-28,Saturday,Late Dinner
MEAL_001_054,USR_001,RST_008,2025-06-29,Sunday,Lunch
MEAL_001_055,USR_001,RST_045,2025-06-29,Sunday,Dinner
MEAL_001_056,USR_001,RST_007,2025-06-30,Monday,Lunch
MEAL_001_057,USR_001,RST_010,2025-06-30,Monday,Linner
MEAL_001_058,USR_001,RST_059,2025-06-30,Monday,Late Dinner
MEAL_001_059,USR_001,RST_061,2025-07-01,Tuesday,Lunch
MEAL_001_060,USR_001,RST_066,2025-07-01,Tuesday,Tea Time
MEAL_001_061,USR_001,RST_001,2025-07-01,Tuesday,Late Dinner
MEAL_001_062,USR_001,RST_068,2025-07-02,Wednesday,Breakfast
MEAL_001_063,USR_001,RST_045,2025-07-02,Wednesday,Dinner
MEAL_001_064,USR_001,RST_038,2025-07-02,Wednesday,Late Dinner
MEAL_001_065,USR_001,RST_069,2025-07-03,Thursday,Lunch
MEAL_001_066,USR_001,RST_012,2025-07-03,Thursday,Late Dinner
MEAL_001_067,USR_001,RST_031,2025-07-03,Thursday,Midnight Snack
MEAL_001_068,USR_001,RST_008,2025-07-04,Friday,Lunch
MEAL_001_069,USR_001,RST_066,2025-07-04,Friday,Linner
MEAL_001_070,USR_001,RST_024,2025-07-04,Friday,Midnight Snack
MEAL_001_071,USR_001,RST_006,2025-07-05,Saturday,Lunch
MEAL_001_072,USR_001,RST_013,2025-07-05,Saturday,Midnight Snack
MEAL_001_073,USR_001,RST_070,2025-07-06,Sunday,Lunch
MEAL_001_074,USR_001,RST_009,2025-07-06,Sunday,Lunch
MEAL_001_075,USR_001,RST_044,2025-07-06,Sunday,Dinner
MEAL_001_076,USR_001,RST_031,2025-07-06,Sunday,Late Dinner
MEAL_002_001,USR_002,RST_017,2025-05-12,Monday,Dinner
MEAL_002_002,USR_002,RST_025,2025-05-13,Tuesday,Lunch
MEAL_002_003,USR_002,RST_017,2025-05-13,Tuesday,Dinner
MEAL_002_004,USR_002,RST_007,2025-05-14,Wednesday,Lunch
MEAL_002_005,USR_002,RST_017,2025-05-14,Wednesday,Dinner
MEAL_002_006,USR_002,RST_026,2025-05-15,Thursday,Lunch
MEAL_002_007,USR_002,RST_006,2025-05-15,Thursday,Dinner
MEAL_002_008,USR_002,RST_017,2025-05-16,Friday,Lunch
MEAL_002_009,USR_002,RST_027,2025-05-16,Friday,Dinner
MEAL_002_010,USR_002,RST_017,2025-05-17,Saturday,Lunch
MEAL_002_011,USR_002,RST_028,2025-05-17,Saturday,Dinner
MEAL_002_012,USR_002,RST_017,2025-05-18,Sunday,Lunch
MEAL_002_013,USR_002,RST_029,2025-05-18,Sunday,Dinner
MEAL_002_014,USR_002,RST_007,2025-05-19,Monday,Lunch
MEAL_002_015,USR_002,RST_017,2025-05-19,Monday,Dinner
MEAL_002_016,USR_002,RST_017,2025-06-15,Sunday,Lunch
MEAL_002_017,USR_002,RST_027,2025-06-15,Sunday,Dinner
MEAL_002_018,USR_002,RST_067,2025-06-16,Monday,Lunch
MEAL_002_019,USR_002,RST_004,2025-06-16,Monday,Dinner
MEAL_002_020,USR_002,RST_025,2025-06-17,Tuesday,Lunch
MEAL_002_021,USR_002,RST_029,2025-06-17,Tuesday,Dinner
MEAL_002_022,USR_002,RST_003,2025-06-18,Wednesday,Lunch
MEAL_002_023,USR_002,RST_049,2025-06-18,Wednesday,Dinner
MEAL_002_024,USR_002,RST_017,2025-06-19,Thursday,Lunch
MEAL_002_025,USR_002,RST_004,2025-06-19,Thursday,Dinner
MEAL_002_026,USR_002,RST_007,2025-06-20,Friday,Lunch
